id_projet;prj_etat;prj_date;prj_dateupdate;prj_debut;prj_fin;prj_typeref;prj_type;prj_reference;prj_devise;prj_change;prj_deviseagence;prj_changeagence;prj_adr;prj_cp;prj_ville;prj_pays;prj_lotstab;prj_commentaires;prj_turnover_excludingtax;prj_margin_excludingtax;prj_profitability;id_profil_x;id_ao;id_crmcontact;id_crmsociete;id_societe_x;id_pole_x;id_profilcdp;csoc_societe;csoc_intervention;csoc_type;csoc_metiers;csoc_web;csoc_tel;csoc_ville;csoc_pays;csoc_date;id_profil_y;id_societe_y;id_pole_y;id_action_previous;id_action_next;id_provenance;csoc_cp;id_bondecommande;bdc_date;bdc_refclient;bdc_ref;bdc_accordclient;bdc_turnoverinvoicedexcludtax;bdc_turnoverorderedexcludtax;bdc_deltainvoicedexcludtax;bdc_etat;id_respuser;bdc_typreglement;bdc_condreglement;bdc_typepayment;id_profil;profil_trigramme;id_achat;achat_datecrea;achat_dateupdate;achat_date;achat_etat;achat_montantht;achat_quantité;achat_titre;achat_ref;achat_type;achat_commentaire
29;1;2016-01-20T14:27:27+0100;2023-09-15T09:56:52+0200;2016-01-29;2023-12-31;6;2;SE16010002;0.0;1.0;0.0;1.0;Domaine des  Rebatières BP 16;26760;MONTELEGER;France;;;36886.08;12977.95;54.28258086266053;368;34.0;22;14;1;;368;CH DROME VIVARAIS (le Valmont);Servies hospitaliers;1;;www.ch-dromevivarais.fr/;04 75 75 60 60;MONTELEGER;France;2016-01-10T10:16:35+0100;368;1;;;;-1;26760;3232.0;2023-01-27;A4 189568;BM1000000003232;1.0;4748.58;4748.58;0.0;1.0;52.0;schedule;1.0;0.0;368;ATA;1424.0;2023-01-27T11:52:24+0100;2023-01-27T11:52:24+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121424;0.0;
43;1;2016-01-25T14:21:29+0100;2023-09-15T10:04:25+0200;2016-01-01;2023-12-31;6;2;SE16010004;0.0;1.0;0.0;1.0;ZI de Reyrieux BP 331;01603;TREVOUX;France;;;32734.52;9369.05;40.0978452391499;255;50.0;30;19;1;;255;DANFOSS;Industrie;1;CAISSE D'EPARGNE;;;TREVOUX;France;2016-01-10T10:16:35+0100;255;1;;;;-1;01603;3175.0;2023-01-12;SE166010004 MA07;BM1000000003175;1.0;4167.52;4167.52;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1387.0;2023-01-12T16:26:01+0100;2023-01-12T16:26:01+0100;2022-12-12;1.0;2960.47;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121387;0.0;
54;1;2016-01-29T14:34:20+0100;2023-09-15T11:24:53+0200;2016-04-01;2023-12-31;6;2;SE16010003;0.0;1.0;0.0;1.0;Parc de Poumeyrol 393 chemin du Bac à Traille - BP 161;69643;CALUIRE CEDEX;France;;;97196.09246;28057.462459999995;40.58145563485998;255;62.0;68;41;1;;255;SECURITAS ALERT SERVICES;Infrastructure;1;CAISSE D'EPARGNE;;;CALUIRE CEDEX;France;2016-01-10T10:16:36+0100;255;1;;;;-1;69643;3110.0;2023-01-09;DAED G20221208021;BM1000000003110;1.0;11339.4;11339.4;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1345.0;2023-01-09T15:08:57+0100;2023-01-09T15:08:57+0100;2022-12-12;1.0;7910.75;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121345;0.0;
79;1;2016-03-21T16:50:28+0100;2023-09-15T10:39:33+0200;2016-06-30;2023-12-31;6;2;SE16030091 MA;0.0;1.0;0.0;1.0;4 rue des Tropiques;38130;ECHIROLLES;France;;;62919.16;16507.320000000007;35.56704496094102;60;91.0;51;30;1;;60;KERIA;Grande distribution;1;CREDIT AGRICOLE;;;ECHIROLLES;France;2016-01-10T10:16:36+0100;60;1;;;;-1;38130;3294.0;2023-02-11;SE16030091 MA05;BM1000000003294;1.0;9088.68;9088.68;0.0;0.0;52.0;schedule;1.0;0.0;60;ACA;1465.0;2023-02-11T17:58:23+0100;2023-02-11T17:58:23+0100;2022-12-12;1.0;6608.93;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121465;0.0;
83;1;2016-03-23T16:21:10+0100;2023-01-19T17:53:57+0100;2016-04-01;2023-12-31;6;2;SE16030074 MA;0.0;1.0;0.0;1.0;Parc Technologique Toison d'Or 19 rue Louis de Broglie - BP 56507;21065;DIJON Cedex;France;;;160114.78;26782.389999999985;20.08693461506239;60;95.0;107;76;1;;60;GIP CPAGE;Edition de logiciels;1;"CREDIT AGRICOLE LANGUEDOC
Factures sur chorus pro";;0380284600;DIJON Cedex;France;2016-01-10T10:18:30+0100;60;1;;;;-1;21065;3213.0;2023-01-19;2023000013;BM1000000003213;1.0;21040.41;21040.41;0.0;0.0;52.0;schedule;1.0;0.0;60;ACA;1411.0;2023-01-19T17:53:57+0100;2023-01-19T17:53:57+0100;2022-12-12;1.0;17437.45;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121411;0.0;
100;1;2016-05-23T12:36:15+0200;2023-09-15T10:37:12+0200;2016-06-01;2023-12-31;6;2;SE15060006 MA;0.0;1.0;0.0;1.0;48 rue Cambon;75001;PARIS 01;France;;;142204.77;40062.51;39.2222670616452;255;153.0;109;77;1;;255;HAMMERSON FRANCE;Bâtiments;1;caisse d'Epargne Languedoc Roussillon;;;PARIS 01;France;2016-01-10T10:18:30+0100;255;1;;;;-1;75001;3194.0;2023-01-17;810016644;BM1000000003194;1.0;19096.44;19096.44;0.0;1.0;52.0;schedule;1.0;0.0;255;Bd';1401.0;2023-01-17T16:51:24+0100;2023-01-17T16:51:24+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121401;0.0;
112;1;2016-06-30T10:11:57+0200;2023-09-15T10:38:31+0200;2016-06-30;2023-12-31;6;2;SE16060174;0.0;1.0;0.0;1.0;1498 Route de Sain-Bel;69280;MARCY L'ETOILE;France;;;100934.5;24591.800000000003;32.21237917967272;64;174.0;141;102;1;;64;INTEFP (Institut National du Travail);Secteur public;1;caisse d'Epargne;;04 78 87 47 47;MARCY L'ETOILE;France;2016-01-14T11:56:38+0100;64;1;;;;12;69280;3263.0;2023-02-04;EJ/SG/2023/0000678 ERREUR DEJA FACTURE;BM1000000003263;1.0;0.0;0.0;0.0;0.0;52.0;schedule;1.0;0.0;64;NBE;1445.0;2023-02-03T11:29:54+0100;2023-02-03T11:29:54+0100;2022-12-12;1.0;10365.36;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121445;0.0;
122;1;2016-09-23T17:04:24+0200;2023-09-15T09:57:22+0200;2016-12-01;2023-12-31;6;2;SE16090202;0.0;1.0;0.0;1.0;Services Economiques Route de Chalautre BP 212;77488;PROVINS CEDEX;France;;;62404.91;15238.5;32.3079496616342;255;202.0;100;70;1;;255;CH PROVINS LEON BINET;Servies hospitaliers;1;credit agricole;;0164604040;PROVINS CEDEX;France;2016-01-10T10:18:30+0100;255;1;;;;-1;77488;3128.0;2023-01-09;E6 442505;BM1000000003128;1.0;7863.24;7863.24;0.0;1.0;52.0;schedule;2.0;0.0;255;Bd';1416.0;2023-01-23T16:04:24+0100;2023-01-23T16:04:24+0100;2022-12-12;1.0;5914.63;1.0;Maintenance SAP BO 2023 - Unitaire;ACH22121416;0.0;
128;1;2016-10-11T15:19:42+0200;2023-02-16T12:21:07+0100;2017-01-01;2023-12-31;6;2;SE16090195;0.0;1.0;0.0;1.0;17 avenue Charles de Gaulle;01800;VILLIEU;France;;;35170.6;15234.34;76.41523535507663;60;195.0;64;38;1;;60;ROSTAING;Industrie;1;crédit agricole;;;VILLIEU;France;2016-01-10T10:16:36+0100;60;1;;;;-1;01800;3309.0;2023-02-16;SE16090195 MA;BM1000000003309;0.0;5115.4;5115.4;0.0;0.0;52.0;schedule;1.0;0.0;60;ACA;1472.0;2023-02-16T12:21:07+0100;2023-02-16T12:21:07+0100;2022-12-12;1.0;0.0;1.0;Maintenance SAP BO & Prédictive 2023 - Unitaire;ACH22121472;0.0;
129;1;2016-10-24T16:05:51+0200;2019-10-18T16:12:06+0200;2016-12-02;2020-12-31;6;2;BR16090198;0.0;1.0;0.0;1.0;;;;France;;"3% de remise
recalage au 31/12 pour le 1er exercice";11407.16;2366.98;26.182885739000763;17;198.0;205;133;1;;17;GIE OSIRIS;Energie;1;;;;SAINT MAURICE L'EXIL CEDEX;France;2016-09-09T14:41:44+0200;17;1;;;;6;38556;1004.0;2019-12-31;EN ATTENTE;BM1000000001004;0.0;0.0;2793.59;-2793.59;1.0;52.0;schedule;52.0;0.0;17;ARE;360.0;2019-12-31T00:00:00+0100;2019-12-31T00:00:00+0100;2019-12-31;1.0;2215.38;1.0;MAINTENANCE SAP BO 2020;ACH360;0.0;
