,id_crmsociete,csoc_societe,csoc_intervention,csoc_type,csoc_metiers,csoc_web,csoc_tel,csoc_ville,csoc_pays,csoc_date,id_profil,id_societe,id_pole,id_action_previous,id_action_next,id_provenance,csoc_cp
0,1029,XYRIC,Logistique,0,CREDIT AGRICOLE,https://www.xyric.com/contact-xyric,03 80 73 99 10,Quetigny,France,2023-07-27T09:52:11+0200,60,1,20,,,14,21800
1,1087,SDIS 38,,0,,,,FONTAINE,France,2023-09-25T16:51:11+0200,17,1,3,,,-1,38602
2,1086,SDIS 72,,2,via CIRIL,,,COULAINES,France,2023-09-21T21:48:22+0200,17,1,3,,,-1,72190
3,1085,SDIS 85,,2,CIRIL à facturer,,,La Roche-sur-Yon,France,2023-09-20T20:55:06+0200,17,1,3,,,-1,85017
4,1034,Province Nord Cap Emploi,Autres,0,,https://www.cap-emploi.nc,,Kone,France,2023-07-27T11:38:43+0200,60,1,20,,,14,98860
5,1084,VILLE DE PLAISIR,,2,Attention facturation CIRIL,,,PLAISIR,France,2023-09-20T06:25:35+0200,17,1,3,,,-1,78370
6,1083,GROUPE EXO-TI C,,0,,,,WOERTH,France,2023-09-20T05:56:41+0200,17,1,3,,,-1,67360
7,649,Réseau Canopé,Secteur public,1,caisse Epargne,https://www.reseau-canope.fr/,,Futuroscope,France,2020-12-17T15:35:15+0100,71,1,,,,12,86961
8,1082,Carrier HVAC,,0,,,,Montluel,France,2023-09-19T08:44:34+0200,12,1,3,,,-1,
9,186,HERMES CUIRS PRECIEUX,Autres,1,BPI,,,PARIS,France,2017-07-10T14:32:35+0200,12,1,,,,-1,75008
10,449,UGC SA,,1,Caisse d'Epargne,,,Neuilly-sur-Seine,France,2019-10-23T17:39:39+0200,255,1,,,,-1,92200
11,629,Mobilize FS ex-DIAC (Infidis),,1,,,,NOISY LE GRAND,France,2020-09-29T09:53:55+0200,255,1,,,,-1,93160
12,506,VIVENDI SE,,1,CREDIT AGRICOLE,www.vivendi.com,,Paris,France,2020-06-12T14:28:49+0200,255,1,,,,11,75380
13,1024,SIGIDURS (syndicat mixte de gestion incinération des déchets),,2,,,,SARCELLES,France,2023-06-22T06:06:41+0200,368,1,3,,,-1,95200
14,912,OPH de Gennevilliers - Aareon Group,,0,Caisse d'epargne,,,Gennevilliers,France,2023-03-23T08:24:13+0100,60,1,,,,-1,92230
15,897,Association Hospitalière de Bourgogne Franche-Comté (AHFC),,1,"Adresse facturation : 	RUE JUSTIN CLAUDE PERCHOT 70160 SAINT-REMY-EN-COMTE

CREDIT AGRICOLE",www.ahbfc.fr,03284682584,ST-Rémy en Comté,France,2023-02-27T08:54:57+0100,60,1,,,,-1,70160
16,691,WEBHELP France,,1,CREDIT AGRICOLE,,,Paris,France,2021-03-22T07:39:26+0100,255,1,,,,-1,75017
17,497,VYNEX,Grande distribution,1,CAISSE D'EPARGNE,,03 24 26 50 00,THELONNE,France,2020-04-27T10:43:40+0200,368,1,,,,11,08350
18,485,Mairie de Paris (SEMERU),,2,caisse Epargne,,01 56 72 77 00,,France,2020-02-28T14:27:10+0100,255,1,,,,1,
19,317,V33,Industrie,1,"Ex AS
CAISSE EPARGNE",,03 84 35 00 33,Domblans,France,2018-11-26T15:53:22+0100,60,1,,,,10,39210
20,448,TRIMANE,,1,CREDIT AGRICOLE,,0172550055,Saint-Germain en Laye,France,2019-10-23T17:39:39+0200,255,1,,,,-1,78100
21,90,SULLY,Conseil,7,caisse d'EPARGNE,,,SAINT-PRIEST Cedex,France,2016-01-10T10:18:30+0100,60,1,,,,-1,69791
22,180,SOITEC,Industrie,1,crédit agricole,https://www.soitec.com/fr/,04 76 92 75 00,BERNIN,France,2017-06-19T09:27:11+0200,60,1,,,,-1,38190
