,id_projet,prj_etat,prj_date,prj_dateupdate,prj_debut,prj_fin,prj_typeref,prj_type,prj_reference,prj_devise,prj_change,prj_deviseagence,prj_changeagence,prj_adr,prj_cp,prj_ville,prj_pays,prj_lotstab,prj_commentaires,prj_turnover_excludingtax,prj_margin_excludingtax,prj_profitability,id_profil,id_ao,id_crmcontact,id_crmsociete,id_societe,id_pole,id_profilcdp
0,1692,1,2023-09-27T15:06:42+0200,2023-09-27T15:07:04+0200,2023-09-14,2023-09-15,2,2,SE23052186-Formation SAP BI Webi,0.0,1.0,0.0,1.0,Rue du Gier,42800,CHATEAUNEUF,France,,,2600.0,1917.2214356164,280.79695755346864,12,2186,2170,27,1,,12
1,1691,1,2023-09-27T09:53:25+0200,2023-09-27T10:07:38+0200,2023-06-01,2023-12-31,1,1,SE23092380-Partenariat R&D,0.0,1.0,0.0,1.0,"104, rue Martre - CS 70052",92583,CLICHY,France,,,49000.00000007,26921.265287695744,121.93300765830315,17,2380,1877,743,1,3,17
2,1690,1,2023-09-26T15:56:32+0200,2023-09-26T16:20:52+0200,2023-09-26,2023-09-26,12,4,SE23072265-Maintenance éditeur SAP,0.0,1.0,0.0,1.0,,,,,,,2164.52,297.5,15.934483829846494,1508,2265,2238,1029,1,20,1508
3,1689,1,2023-09-26T15:30:14+0200,2023-09-26T15:30:56+0200,2023-10-01,2023-12-31,7,1,SE23072255-TMA BI,0.0,1.0,0.0,1.0,"Cité Internationale 34, quai Charles de Gaulle",69463,LYON CEDEX 06,France,,,7500.0,7450.0,14900.0,12,2255,1851,218,1,3,12
4,1688,1,2023-09-26T15:24:46+0200,2023-09-26T15:25:05+0200,2023-09-25,2023-12-31,1,1,SE23092360-Renfort équipe BI,0.0,1.0,0.0,1.0,Comptabilité Fournisseurs 3F 2 avenue de l'Ouest Lyonnais - CS50101,69510,MESSIMY,France,,,31200.0,30900.0,10300.0,12,2360,17,11,1,3,12
5,1687,1,2023-09-26T12:10:50+0200,2023-09-26T12:12:49+0200,2023-09-26,2023-09-26,6,2,SE23092377-Maintenance BO,0.0,1.0,0.0,1.0,5 Pl. de la Pergola CS 77711,31077,TOULOUSE,France,,,4844.68,1519.9300000000003,45.715617715617725,17,2377,2276,1057,1,3,17
6,1686,1,2023-09-26T12:09:40+0200,2023-09-26T12:10:05+0200,2023-09-26,2023-09-26,4,4,SE23082343-Licences BO Edge BI,0.0,1.0,0.0,1.0,,,,,,,17617.0,5527.0,45.71546732837056,17,2343,2303,1057,1,3,17
7,1685,1,2023-09-26T10:24:55+0200,2023-09-26T10:26:12+0200,2023-12-17,2023-12-17,12,4,SE23062219-Maintenance 360 WIIISDOM,0.0,1.0,0.0,1.0,,,,,,,2389.6,2389.6,0.0,255,2219,1542,745,1,20,255
8,1684,1,2023-09-26T10:19:51+0200,2023-09-26T10:24:02+0200,2023-10-01,2023-10-01,14,4,SE23062218-Souscription Need4Viz,0.0,1.0,0.0,1.0,,,,,,,5660.0,5660.0,0.0,255,2218,1542,745,1,20,255
9,1683,1,2023-09-25T12:02:28+0200,2023-09-25T15:25:28+0200,2023-09-25,2024-04-01,2,2,SE23092362-formations - webinars,0.0,1.0,0.0,1.0,,,,France,,,22310.4,22310.4,0.0,64,2362,1414,628,1,20,64
10,1682,1,2023-09-22T16:51:09+0200,2023-09-22T16:51:39+0200,2023-09-22,2023-11-30,2,2,SE23092356-Etude déménagement RRAMU,0.0,1.0,0.0,1.0,1231 rue de la sente aux bœufs,76160,SAINT MARTIN DU VIVIER,France,,,9900.0,6144.7178958902,163.62866292163218,71,2356,2307,1081,1,3,71
11,1681,1,2023-09-22T13:26:16+0200,2023-09-22T13:31:03+0200,2023-09-22,2023-09-22,6,2,SE23092374-Maintenance BO,0.0,1.0,0.0,1.0,15 Bd Saint-Michel,72190,COULAINES,France,,,247.5,113.44,84.61882739072057,17,2374,2315,1086,1,3,17
12,1680,1,2023-09-22T13:24:45+0200,2023-09-22T13:25:22+0200,2023-09-22,2023-09-22,4,4,SE23092372-Licence BO,0.0,1.0,0.0,1.0,,,,,,,785.0,297.5,61.02564102564103,17,2372,2315,1086,1,3,17
13,1679,1,2023-09-22T13:04:03+0200,2023-09-22T13:06:12+0200,2023-09-22,2023-09-22,6,2,SE23092373-Maintenance BO,0.0,1.0,0.0,1.0,Les Oudairies,85017,La Roche-sur-Yon,France,,,247.5,113.44,84.61882739072057,17,2373,2314,1085,1,3,17
14,1678,1,2023-09-22T12:59:59+0200,2023-09-22T13:03:26+0200,2023-09-22,2023-09-22,4,4,SE23092370-Licence BO,0.0,1.0,0.0,1.0,,,,,,,765.0,277.5,56.92307692307692,17,2370,2314,1085,1,3,17
15,1677,1,2023-09-21T18:24:47+0200,2023-09-21T18:38:56+0200,2023-09-21,2023-12-15,2,2,SE23092368-assistance BO,0.0,1.0,0.0,1.0,121 rue d'Alésia,75014,PARIS,France,,,10184.02,6428.737895890201,171.1918763401172,64,2368,2313,625,1,20,64
16,1676,1,2023-09-21T11:39:42+0200,2023-09-21T11:40:00+0200,2023-09-21,2023-12-31,2,2,SE23082350-Formations BODS,0.0,1.0,0.0,1.0,"Hôtel du département, Rue Viala",84909,Avignon,France,,,3760.0,2735.8321534245997,267.12732317975434,368,2350,2010,872,1,20,368
17,1675,1,2023-09-21T09:58:09+0200,2023-09-21T09:59:19+0200,2023-09-21,2023-12-31,2,2,SE23082337-Formation introduction statistiques 2023,0.0,1.0,0.0,1.0,21 rue de la Vallée Maillard,41000,Blois,France,,Formation en présentiel,2150.0,2140.0,21400.0,368,2337,2212,915,1,20,368
18,1674,1,2023-09-14T14:06:01+0200,2023-09-14T16:37:51+0200,2023-09-14,2023-10-31,1,1,SE23072256-Migration SAP BI,0.0,1.0,0.0,1.0,14 RUE DE LISBONNE,93110,ROSNY SOUS BOIS,France,,,19800.0,5692.5,40.35087719298246,78,2256,1998,917,1,3,78
19,1673,1,2023-09-14T12:22:22+0200,2023-09-14T12:29:23+0200,2023-10-02,2023-12-31,2,2,SE23082335-Datavisualisation de PIREX avec POWER BI,0.0,1.0,0.0,1.0,"bâtiment 33,  Le triangle, 12 rue de la Redoute, BP 17",92260,FONTENAY AUX ROSES,France,,,28485.6,28285.6,14142.8,64,2335,1336,688,1,20,64
20,1672,1,2023-09-08T16:13:27+0200,2023-09-08T16:13:43+0200,2023-09-01,2023-09-30,2,2,SE23092358-Evolution Dépôt GED,0.0,1.0,0.0,1.0,,,,France,,,258.0,255.85,11900.0,1291,2358,1981,907,1,20,1291
21,1671,1,2023-09-04T20:55:21+0200,2023-09-25T12:08:15+0200,2023-08-01,2023-09-30,2,2,SE23092352-Analyse overwrite prev Vanguard,0.0,1.0,0.0,1.0,10 avenue de la Ballastière,33500,LIBOURNE,France,,,0.0,0.0,0.0,48,2352,1898,874,1,3,48
22,1670,1,2023-09-04T10:33:42+0200,2023-09-13T13:40:51+0200,2023-09-04,2024-09-03,2,2,SE23082344-TMA SAP BusinessObjects,0.0,1.0,0.0,1.0,191 av. du Doyen Giraud,34295,Montpellier cedex 5,France,,,2650.0,2597.5,4947.619047619048,368,2344,1606,771,1,20,368
23,1669,1,2023-08-30T15:37:07+0200,2023-08-31T15:22:23+0200,2023-08-23,2023-10-31,9,2,SE23082349-APP PCOE,0.0,1.0,0.0,1.0,8 RUE DE LA BOURSE,69002,LYON,France,,,0.0,0.0,0.0,60,2349,1069,554,1,20,60
